co_municipio,no_municipio,sg_uf,categoria,no_regiao_turistica
1200104,Brasiléia,AC,Município de apoio ao turismo,Caminhos da Revolução
1200302,Feijó,AC,Município de apoio ao turismo,
1200328,Jordão,AC,Município de apoio ao turismo,
1200336,Mâncio Lima,AC,Município de apoio ao turismo,
1200351,Marechal Thaumaturgo,AC,Município de apoio ao turismo,
1200401,Rio Branco,AC,Município turístico,Caminhos da Revolução
1200427,Rodrigues Alves,AC,Município de apoio ao turismo,
1200609,Tarauacá,AC,Município com oferta turística complementar,
1200708,Xapuri,AC,Município de apoio ao turismo,Caminhos do Pacífico
2700102,Água Branca,AL,Município de apoio ao turismo,REGIÃO CÂNIONS DO SÃO FRANCISCO
2700300,Arapiraca,AL,Município com oferta turística complementar,REGIÃO DO AGRESTE
2700409,Atalaia,AL,Município de apoio ao turismo,Região Turística Serras e Quilombos
2700607,Barra de São Miguel,AL,Município com oferta turística complementar,REGIÃO CAMINHO DAS ÁGUAS
2700904,Belo Monte,AL,Município de apoio ao turismo,REGIÃO CÂNIONS DO SÃO FRANCISCO
2701001,Boca da Mata,AL,Município com oferta turística complementar,REGIÃO DO AGRESTE
2701407,Campo Alegre,AL,Município com oferta turística complementar,REGIÃO DO AGRESTE
2701704,Capela,AL,Município de apoio ao turismo,Região Turística Serras e Quilombos
2701902,Chã Preta,AL,Município de apoio ao turismo,Região Turística Serras e Quilombos
2702207,Coqueiro Seco,AL,Município com oferta turística complementar,REGIÃO CAMINHO DAS ÁGUAS
2702306,Coruripe,AL,Município com oferta turística complementar,REGIÃO CAMINHO DAS ÁGUAS
2702405,Delmiro Gouveia,AL,Município com oferta turística complementar,REGIÃO CÂNIONS DO SÃO FRANCISCO
2702702,Feliz Deserto,AL,Município de apoio ao turismo,REGIÃO CAMINHO DAS ÁGUAS
2702801,Flexeiras,AL,Município com oferta turística complementar,Região Turística Serras e Quilombos
2703007,Ibateguara,AL,Município com oferta turística complementar,Região Turística Serras e Quilombos
2703601,Japaratinga,AL,Município turístico,REGIÃO COSTA DOS CORAIS
2703759,Jequiá da Praia,AL,Município com oferta turística complementar,REGIÃO CAMINHO DAS ÁGUAS
2704104,Lagoa da Canoa,AL,Município de apoio ao turismo,REGIÃO DO AGRESTE
2704203,Limoeiro de Anadia,AL,Município com oferta turística complementar,REGIÃO DO AGRESTE
2704302,Maceió,AL,Município turístico,Grande Maceió
2704500,Maragogi,AL,Município turístico,REGIÃO COSTA DOS CORAIS
2704609,Maravilha,AL,Município com oferta turística complementar,REGIÃO DA CAATINGA
2704708,Marechal Deodoro,AL,Município turístico,REGIÃO CAMINHO DAS ÁGUAS
2704807,Maribondo,AL,Município com oferta turística complementar,Região Turística Serras e Quilombos
2704906,Mar Vermelho,AL,Município com oferta turística complementar,Região Turística Serras e Quilombos
2705507,Murici,AL,Município com oferta turística complementar,Região Turística Serras e Quilombos
2705705,Olho d'Água das Flores,AL,Município com oferta turística complementar,REGIÃO DA CAATINGA
2705804,Olho dÁgua do Casado,AL,Município de apoio ao turismo,REGIÃO CÂNIONS DO SÃO FRANCISCO
2706307,Palmeira dos Índios,AL,Município com oferta turística complementar,REGIÃO DO AGRESTE
2706406,Pão de Açúcar,AL,Município de apoio ao turismo,REGIÃO CÂNIONS DO SÃO FRANCISCO
